spike_backone;0;0;0;49;149;49;149;0.5;0.1
food;0;49;0;102;98;102;98;0.5;0.5
powerup_speed;0;151;0;99;105;99;105;0.5;0.5
powerup_size;0;250;0;105;111;105;111;0.5;0.5
ustaL;0;355;0;104;141;104;141;0.8;0.8
ustaD;0;459;0;104;141;104;141;0.2;0.8
usta3;0;563;0;154;112;154;112;0.5;0.75
ustaL2;0;717;0;117;170;117;170;0.9;0.8
ustaD2;0;834;0;117;170;117;170;0.1;0.8
ucki_not3;0;0;170;272;74;272;74;0.5;0.5
ucki_not1;0;272;170;274;78;274;78;0.5;0.5
ucki_not2;0;546;170;271;79;271;79;0.5;0.5
ucki_zun;0;0;249;290;99;290;99;0.5;0.5
mezikanje_e9;0;290;249;294;101;294;101;0.5;0.5
mezikanje_e8;0;584;249;294;101;294;101;0.5;0.5
mezikanje_e7;0;0;350;294;101;294;101;0.5;0.5
mezikanje_e6;0;294;350;294;101;294;101;0.5;0.5
mezikanje_e5;0;588;350;294;101;294;101;0.5;0.5
mezikanje_e4;0;0;451;294;101;294;101;0.5;0.5
mezikanje_e3;0;294;451;294;101;294;101;0.5;0.5
mezikanje_e2;0;588;451;294;101;294;101;0.5;0.5
mezikanje_e1;0;0;552;294;101;294;101;0.5;0.5
spike_sides;0;294;552;542;60;542;60;0.5;0.5
spike_back;0;0;653;354;108;354;108;0.5;0
spike_front;0;354;653;354;108;354;108;0.5;1
base_green;0;708;653;258;435;258;435;0.5;0.5
base_blue;0;0;1088;269;435;269;435;0.5;0.5
base_orange;0;269;1088;288;437;288;437;0.5;0.5
base_pink;0;557;1088;340;435;340;435;0.5;0.5
