base_green;0;291;438;258;435;258;435;0.5;0.5
spike_backone;0;958;561;49;149;49;149;0.5;0
spike_sides;1;614;1;60;542;542;60;0.5;0.5
spike_back;1;676;1;108;354;354;108;0.5;0
spike_front;1;786;1;108;354;354;108;0.5;1
base_orange;0;1;438;288;437;288;437;0.5;0.5
mezikanje_e9;1;1;877;101;294;294;101;0.5;0.5
mezikanje_e8;1;896;1;101;294;294;101;0.5;0.5
mezikanje_e7;1;104;877;101;294;294;101;0.5;0.5
mezikanje_e6;1;207;877;101;294;294;101;0.5;0.5
mezikanje_e5;1;310;875;101;294;294;101;0.5;0.5
mezikanje_e4;1;413;875;101;294;294;101;0.5;0.5
mezikanje_e3;1;551;545;101;294;294;101;0.5;0.5
mezikanje_e2;1;516;875;101;294;294;101;0.5;0.5
mezikanje_e1;0;676;357;294;101;294;101;0.5;0.5
base_pink;0;1;1;340;435;340;435;0.5;0.5
powerup_size;0;826;798;105;111;105;111;0.5;0.5
powerup_speed;0;881;1054;99;105;99;105;0.5;0.5
food;0;619;1089;102;98;102;98;0.5;0.5
base_blue;0;343;1;269;435;269;435;0.5;0.5
ucki_not3;0;654;722;272;74;272;74;0.5;0.5
ucki_not2;0;654;641;271;79;271;79;0.5;0.5
ucki_not1;0;654;561;274;78;274;78;0.5;0.5
ucki_zun;0;676;460;290;99;290;99;0.5;0.5
usta3;1;738;917;112;154;154;112;0.5;0.75
ustaL2;1;654;798;170;117;117;170;0.8;0.75
ustaD2;0;619;917;117;170;117;170;0.15;0.8
ustaL;0;852;911;104;141;104;141;0.75;0.75
ustaD;1;738;1073;141;104;104;141;0.25;0.75
